mod1_dim1,mod1_dim2,id
0.09753360174945158,0.7612497166748563,0
0.24693797316632704,0.13813168747631954,1
0.33144656327093147,0.08299956500689287,2
0.6719770812804666,0.8065937981616575,3
0.982741914544214,0.6356607347968526,4
0.21592325604718032,0.5490274320842796,5
0.5455599580092261,0.23407607314700163,6
0.11372584300707944,0.4996592670489547,7
0.15210842242178801,0.5326860805572696,8
0.387006768446549,0.6883273834221644,9
0.3729271564083929,0.9461600449633926,10
0.777357918106707,0.6080343030674544,11
0.615232036586069,0.6429876012693234,12
0.26848350713033464,0.7501561486032265,13
0.2868304894201533,0.709376057826234,14
0.06478677547176559,0.6898584792392357,15
0.5521678334696775,0.5538264803105607,16
0.3465286297905903,0.1726129600841977,17
0.541932637563185,0.05176904301577445,18
0.8255576134042102,0.7110669702314096,19
0.04416722266296824,0.0765365615356286,20
0.010343895110245693,0.9943048222579424,21
0.5994438970969271,0.17973880276470322,22
0.36437840196608307,0.8638367270431518,23
0.45025550096250344,0.9713697684849716,24
0.13565977671520735,0.7156744827027806,25
0.9209482505872632,0.9353644225478608,26
0.9363029088679248,0.6727740448846121,27
0.9389926354427293,0.5242277302153967,28
0.44892175700184356,0.03127758666552116,29
0.8591044903080123,0.18252879402305167,30
0.7283094463286277,0.9673682786626925,31
0.8983157458733269,0.8343715027909192,32
0.5905078040283765,0.3614592485935443,33
0.16483069676401785,0.44021176044136656,34
0.7601865212686305,0.4422738328726695,35
0.13052339190334605,0.18204234531958974,36
0.9974373324496401,0.26885190140470383,37
0.8772652169952768,0.1639605602220474,38
0.949434122022834,0.40016700117762294,39
0.6526793788019437,0.7107326736231333,40
0.40094733206810995,0.911826340125886,41
0.05391789471661923,0.4952041632942823,42
0.24963864058647178,0.3484708615800669,43
0.7408861717670493,0.36115700818057805,44
0.6307421009778592,0.9742308506693961,45
0.4221684603378789,0.06326975075740693,46
0.07858701687903547,0.2058662234431784,47
0.28752143607082925,0.3814696098564697,48
0.8351873451819617,0.08207576786149495,49
0.8208348722360737,0.8166572756618752,50
0.3330956994836386,0.6756317627705831,51
0.9834357810457761,0.9591992995432482,52
0.6699439053354557,0.8929616473916475,53
0.34755772832383647,0.6316655437677292,54
0.18849319518824292,0.34828456138236175,55
0.9847770719590596,0.7516312390912311,56
0.8330600433851462,0.1420305629591706,57
0.014979197663230304,0.8572744718510954,58
0.7119454425744001,0.8565401868284167,59
0.8616043304298477,0.7958041137284613,60
0.4771041099158344,0.09318029011083084,61
0.3136907146921142,0.6412224925127461,62
0.5839972545660652,0.2670659728825079,63
0.05655338856796899,0.9102521116894622,64
0.3033046825081763,0.33142930215218636,65
0.056686266327217405,0.029364493641441447,66
0.1261308714399476,0.09960114391646324,67
0.162180741260738,0.15088139339611384,68
0.31239040116674577,0.5598006166047904,69
0.3480439103883216,0.3494153827479165,70
0.6137055535512614,0.07022964247308394,71
0.5975705765753162,0.3118984598798553,72
0.25215345299998027,0.52546590847057,73
