mod2_dim1,mod2_dim2,id
4571.4406057440065,2327.9192212047087,0
4284.9164922313275,1166.7865029009997,1
1430.6267197438717,3380.208256824961,2
3119.2694487712865,2675.229714226617,3
2341.631397093317,3490.0777287843607,4
2752.565704435496,3943.5284253947607,5
3072.1456479970752,3315.4344009046285,6
3581.420383582375,4960.897085493665,7
4279.432787687366,2652.8037392647234,8
4505.07062082651,4295.037730282085,9
1217.8980312894184,3874.548946256777,10
4208.682249697901,3945.6265752457557,11
3836.527003124669,3163.7474172101124,12
1499.296697522439,4830.589181878674,13
2613.0251949396793,1867.8046412942404,14
3869.103385813278,4976.829753687751,15
2022.4562224033402,3685.237727757122,16
3396.023652556466,3869.3285822220523,17
4749.398138579618,2407.2390741588083,18
2014.536389885584,2609.890036147092,19
3986.04286873994,3896.2822696467533,20
2624.4311842335574,4957.519393120009,21
2801.997122980664,2495.2337364014115,22
3838.514424676808,1329.834213246834,23
2593.4916752451327,4083.523865231519,24
4059.0039340018684,2135.4375342307894,25
1758.1687614815223,2885.00385894126,26
2339.224178010494,3938.940174854604,27
1756.4284621394575,2324.416296484351,28
4376.913683290276,3460.0961372895044,29
4541.056318949487,4906.212081630712,30
4347.63437162873,1723.2985043437573,31
3473.6420338183534,2904.435493093377,32
2616.6266186909124,3967.5347501960364,33
4303.733156676734,3732.9193219505664,34
1557.0864219638895,3811.300229593645,35
1235.3491606565524,1770.6618990048635,36
4699.1750598207855,2620.4098294559667,37
1593.1661304037727,3729.148522698335,38
1653.9550030584737,3592.900964266042,39
2006.4565726819121,1165.5020052036068,40
4834.890401263895,1264.8819232537262,41
3051.7607443425536,2365.186364879684,42
3640.039274581591,4377.709348475157,43
3415.466226828423,3348.854763902941,44
1468.1321421385674,3841.8013417711077,45
1818.0930313805313,2961.4711730286385,46
1146.434121744043,2261.614302355084,47
4452.121628397367,3233.8664728966755,48
3186.8313051059426,2471.298635736449,49
4312.626740395788,2105.401837730556,50
1502.6333666664962,3251.124317970705,51
2069.356021495775,4100.139713225433,52
1717.6253821581563,4133.0266853499825,53
3431.9852833371706,1166.9955046142131,54
3245.100528766405,3672.550939307768,55
4753.570426666338,4144.023435247853,56
4001.7218860833495,2988.203903338213,57
1170.9300066115106,4267.469985782974,58
1054.4949767673563,3200.1647428604197,59
3267.187085300205,1451.6733391485857,60
1251.104959325057,3298.8968998680957,61
2941.941063162759,2205.688388540559,62
1159.182232186514,3535.5765458964524,63
1497.3427328021746,1046.4233776615495,64
2106.666354714125,2206.182160376645,65
1721.2705260133769,1267.9118523258683,66
4116.9358141041075,2602.9938969132645,67
1983.2594052270115,3095.0887514240044,68
2019.94277557286,4407.633847217709,69
2934.014312361311,3492.5998045443002,70
4892.290019517064,2418.9901181674354,71
1898.582536882822,4914.855222505883,72
3348.297684003251,4926.725554950002,73
4874.664321261776,3820.4157428855524,74
1077.543235923991,3451.321557808396,75
1998.236676159292,1517.7428290161056,76
2465.044539612109,1800.3740204568803,77
4065.9256547026816,4736.724660331272,78
1105.6095922357558,2024.254417230739,79
2064.792180776638,1569.3108536004536,80
4805.997243318668,1990.4478103598535,81
2424.7446593676577,1195.7563522630142,82
1952.5226848416196,4531.299022250821,83
4857.73206442803,3624.1112964580384,84
2187.4444273233785,1237.34389079201,85
4457.745939729244,1620.5635896830097,86
2078.1923600658383,3192.818602843751,87
2009.109760178161,4378.712342538493,88
3008.859530186008,2938.7575729517102,89
4621.0345236554995,4661.073542970147,90
1966.5108152203486,1075.0675689245286,91
3681.158784699089,2082.253633546053,92
1057.2258061612035,1388.5215654812826,93
2675.3508216758896,1482.1929080701884,94
1828.3559901921885,3980.2218631474916,95
2822.751982248958,1454.0385383516882,96
1861.2946598873798,4720.973016669218,97
1031.5789917638467,3567.487357692348,98
3578.650110568081,3721.005121507198,99
3312.6138577054567,4138.112858686924,100
4287.388728998764,3587.317341364892,101
1718.558523360887,3905.0920144194533,102
2138.8483510514884,4365.906206167714,103
3280.668584228084,1341.070487468207,104
4643.8087854166815,2849.8236448165994,105
4771.614805024632,1161.9691284181774,106
1429.8198783987916,4022.878350828058,107
1167.110336913554,2806.2526193777758,108
4264.3433278413095,2676.7909566043977,109
1759.8364898213426,4373.642341897688,110
1428.9852745676685,2152.0743537401636,111
1867.8751536115933,2857.0688934023447,112
2278.3615478226466,4636.3767026152545,113
4142.509511058311,3823.0027382267494,114
1559.613801362984,3447.2853406482914,115
4405.980107929087,4695.073860573881,116
3648.8423483653874,2035.917895075438,117
2107.198698230765,3541.9119674367676,118
3897.6244354305845,2222.349015888779,119
3711.85035197579,3025.973767443739,120
4317.543012529995,3733.1922371942937,121
4640.4048658183565,1479.7584827616633,122
4358.932531901436,4793.079422820573,123
3294.4837276512203,1016.5801095100942,124
1134.0491364845584,2649.8640567671873,125
